[INFO]
Name: Назва

Artist: Невідомий

Source: testsong.wav

[NOTES]
1.8808163265306121 1
2.6238548752834467 4
3.320453514739229 1
6.222947845804988 3
6.455147392290249 3
6.6873469387755105 1
6.942766439909297 3
7.63936507936508 1
8.126984126984127 1
8.382403628117913 3
9.102222222222222 1
9.566621315192744 1
10.054240362811791 1
10.309659863945578 3
10.541859410430838 1
10.797278911564625 3
11.029478458049887 1
11.493877551020407 1
13.885532879818594 1
14.140952380952381 3
14.373151927437641 1
14.605351473922903 3
15.32517006802721 1
15.789569160997733 1
16.764807256235827 1
17.22920634920635 1
17.716825396825396 3
17.972244897959182 3
18.204444444444444 1
18.45986394557823 3
19.156462585034014 1
19.4118820861678 4
19.644081632653062 3
23.42893424036281 3
23.893333333333334 3
24.38095238095238 3
24.845351473922904 3
25.33297052154195 3
25.588390022675735 4
25.797369614512473 1
26.02956916099773 1
26.749387755102042 1
29.1178231292517 3
29.60544217687075 3
31.509478458049887 3
31.741678004535146 4
31.973877551020408 1
32.43827664399093 3
32.90267573696145 3
33.158095238095235 1
33.3902947845805 1
36.710748299319725 3
37.6627664399093 3
38.12716553287982 3
39.54358276643991 1
40.47238095238095 1
43.21233560090703 3
45.2324716553288 3
45.72009070294784 3
47.11328798185941 1
48.088526077097505 1
48.55292517006803 3
49.96934240362812 1
52.8021768707483 1
53.26657596371882 1
53.75419501133787 3
56.58702947845805 1
58.46784580498866 1
59.44308390022676 1
91.60272108843537 3
91.85814058956916 3
92.32253968253968 3
93.01913832199547 1
93.50675736961452 1
93.7621768707483 3
94.45877551020408 1
94.9231746031746 1
95.41079365079365 3
95.64299319727891 3
96.13061224489796 3
96.82721088435375 1
97.08263038548753 4
99.89224489795919 3
101.09968253968253 3
101.58730158730158 3
102.51609977324263 3
103.4681179138322 1
103.70031746031746 1
106.78857142857143 3
107.25297052154195 1
108.69260770975056 3
109.15700680272109 3
109.62140589569161 1
111.27002267573697 3
111.98984126984126 3
112.45424036281179 3
114.33505668934241 3
114.79945578231292 3
115.75147392290249 3
117.16789115646259 1
123.321179138322 3
125.68961451247165 1
126.15401360544217 3
127.57043083900227 1
129.91564625850341 3
130.3800453514739 1
130.86766439909297 1
131.3320634920635 1
131.81968253968253 3
133.70049886621314 3
134.14167800453515 3
134.60607709750568 3
136.02249433106576 1
138.85532879818595 1
168.87873015873015 1
169.13414965986394 3
169.3663492063492 1
169.59854875283446 3
169.83074829931974 1
170.31836734693877 1
170.7827664399093 1
171.03818594104308 3
171.73478458049885 1
172.22240362811792 3
172.68680272108844 1
173.17442176870748 3
173.40662131519275 3
174.12643990929706 1
174.3586394557823 4
174.5908390022676 1
176.4948752834467 1
177.9112925170068 1
178.37569160997734 1
178.86331065759637 1
179.3277097505669 1
179.79210884353742 1
180.25650793650794 1
180.51192743764173 3
180.74412698412698 1
180.97632653061225 3
183.04290249433106 1
214.20408163265307 2
214.90068027210884 1
